Multiplier,SSIM,Area,Power,Cost function
mul9994,0.9949798323995288,463.41,6.144128300000002,2847.2504955030013
mul3944,0.9825651884206782,454.518,6.0428624000000015,2746.5897323232007
mul4943,0.975931424101048,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.956857181349156,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9242795125391068,448.02,5.979680000000002,2679.016233600001
mul1444,0.8564613870885797,453.492,6.0575100000000015,2747.032324920001
mul9944,0.9981854592091284,458.28,6.089312200000002,2790.609995016001
mul4944,0.995477030229127,453.15,6.034496100000002,2734.531907715001
mul4934,0.9943020115686456,454.518,6.0428624000000015,2746.5897323232007
mul4444,0.9883534773911544,448.02,5.979680000000002,2679.016233600001
mul2444,0.9842393854639788,451.44000000000005,6.062852000000001,2737.013906880001
mul3244,0.9666965270733626,452.8080000000001,6.071218300000001,2749.0962159864007
mul3994,0.9880753864222492,459.648,6.0976785000000016,2802.785727168001
mul3944,0.9780633551331124,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.9719465140179906,450.756,5.996412600000001,2702.918957925601
mul4344,0.9508266493651268,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9080859391564524,448.02,5.979680000000002,2679.016233600001
mul1444,0.8573459525646905,453.492,6.0575100000000015,2747.032324920001
mul4993,0.9944287411847048,459.648,6.0976785000000016,2802.785727168001
mul3944,0.9911843641223894,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9865819283595768,453.15,6.034496100000002,2734.531907715001
mul3444,0.9712500829075228,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9652221160263236,448.02,5.979680000000002,2679.016233600001
mul3333,0.9561816819088034,453.492,6.0131452,2726.9132430384
mul4993,0.9978374844763116,459.648,6.0976785000000016,2802.785727168001
mul4943,0.9959498190538476,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.994262041193033,453.15,6.034496100000002,2734.531907715001
mul4444,0.9836924363029949,448.02,5.979680000000002,2679.016233600001
mul4344,0.9773084101803112,449.388,5.9880463000000015,2690.956150664401
mul3343,0.9639434893021724,452.124,6.004778900000001,2714.9046553836006
