Multiplier,SSIM,Area,Power,Cost function
mul9994,0.9949798323995288,463.41,6.144128300000002,2847.2504955030013
mul4993,0.9903822138224676,459.648,6.0976785000000016,2802.785727168001
mul3944,0.9825651884206782,454.518,6.0428624000000015,2746.5897323232007
mul4943,0.975931424101048,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.9694690182663942,450.756,5.996412600000001,2702.918957925601
mul4344,0.956857181349156,449.388,5.9880463000000015,2690.956150664401
mul3444,0.935383079156322,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9242795125391068,448.02,5.979680000000002,2679.016233600001
mul9994,0.9992917019348224,463.41,6.144128300000002,2847.2504955030013
mul9944,0.9981854592091284,458.28,6.089312200000002,2790.609995016001
mul4944,0.995477030229127,453.15,6.034496100000002,2734.531907715001
mul4934,0.9943020115686456,454.518,6.0428624000000015,2746.5897323232007
mul9444,0.9905820265332006,453.15,6.034496100000002,2734.531907715001
mul4444,0.9883534773911544,448.02,5.979680000000002,2679.016233600001
mul2444,0.9842393854639788,451.44000000000005,6.062852000000001,2737.013906880001
mul3244,0.9666965270733626,452.8080000000001,6.071218300000001,2749.0962159864007
mul9994,0.9962042999381792,463.41,6.144128300000002,2847.2504955030013
mul3943,0.9862846686750336,455.886,6.051228700000001,2758.6704471282005
mul3944,0.9780633551331124,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.9719465140179906,450.756,5.996412600000001,2702.918957925601
mul3494,0.957343177218937,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9508266493651268,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9080859391564524,448.02,5.979680000000002,2679.016233600001
mul4414,0.8875609899990738,453.492,6.0575100000000015,2747.032324920001
mul9994,0.9965482766886428,463.41,6.144128300000002,2847.2504955030013
mul4993,0.9944287411847048,459.648,6.0976785000000016,2802.785727168001
mul3944,0.9911843641223894,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9865819283595768,453.15,6.034496100000002,2734.531907715001
mul3494,0.9762879385082276,454.518,6.0428624000000015,2746.5897323232007
mul3444,0.9712500829075228,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9652221160263236,448.02,5.979680000000002,2679.016233600001
mul3343,0.957224745225854,452.124,6.004778900000001,2714.9046553836006
mul9994,0.9986184715187848,463.41,6.144128300000002,2847.2504955030013
mul9944,0.997477811463104,458.28,6.089312200000002,2790.609995016001
mul4943,0.9959498190538476,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.994262041193033,453.15,6.034496100000002,2734.531907715001
mul4443,0.9868665962138198,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9836924363029949,448.02,5.979680000000002,2679.016233600001
mul4344,0.9773084101803112,449.388,5.9880463000000015,2690.956150664401
mul4343,0.9727797123240172,450.756,5.996412600000001,2702.918957925601
mul9994,0.998659608674494,463.41,6.144128300000002,2847.2504955030013
mul9944,0.9975882384717748,458.28,6.089312200000002,2790.609995016001
mul4944,0.9942514952037244,453.15,6.034496100000002,2734.531907715001
mul4934,0.9894234623141912,454.518,6.0428624000000015,2746.5897323232007
mul4444,0.9846957496254284,448.02,5.979680000000002,2679.016233600001
mul4443,0.9844373079132724,449.388,5.9880463000000015,2690.956150664401
mul4334,0.9782176440857364,450.756,5.996412600000001,2702.918957925601
mul2444,0.9574724240440587,451.44000000000005,6.062852000000001,2737.013906880001
mul4992,0.9947828528824664,461.7000000000001,6.172484200000001,2849.835955140001
mul4994,0.9934097207837498,458.28,6.089312200000002,2790.609995016001
mul3944,0.9925525539498322,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9894719141663516,453.15,6.034496100000002,2734.531907715001
mul3244,0.968320829234766,452.8080000000001,6.071218300000001,2749.0962159864007
mul3444,0.930895917759686,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9236675127313128,448.02,5.979680000000002,2679.016233600001
mul4144,0.8800012428025763,453.492,6.0575100000000015,2747.032324920001
mul9994,0.998367168740005,463.41,6.144128300000002,2847.2504955030013
mul9944,0.9971491005711256,458.28,6.089312200000002,2790.609995016001
mul4944,0.99389839314684,453.15,6.034496100000002,2734.531907715001
mul9344,0.9886025994735234,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.986052232667352,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9840049591200288,448.02,5.979680000000002,2679.016233600001
mul4414,0.9781529861468076,453.492,6.0575100000000015,2747.032324920001
mul2444,0.9689093394677136,451.44000000000005,6.062852000000001,2737.013906880001
mul9994,0.998273366414596,463.41,6.144128300000002,2847.2504955030013
mul4994,0.9948026482379492,458.28,6.089312200000002,2790.609995016001
mul3944,0.9935640855090966,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9891378477856178,453.15,6.034496100000002,2734.531907715001
mul4934,0.9832680266242194,454.518,6.0428624000000015,2746.5897323232007
mul3444,0.9768282622773388,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9733796484743702,448.02,5.979680000000002,2679.016233600001
mul4144,0.9650261133951196,453.492,6.0575100000000015,2747.032324920001
mul4992,0.9949210395600072,461.7000000000001,6.172484200000001,2849.835955140001
mul3944,0.9934722208980964,454.518,6.0428624000000015,2746.5897323232007
mul3844,0.9919789595092964,454.86,6.075735300000001,2763.6089585580003
mul4944,0.987708894161195,453.15,6.034496100000002,2734.531907715001
mul3344,0.98003855804845,450.756,5.996412600000001,2702.918957925601
mul3444,0.976848066666514,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9695584401905863,448.02,5.979680000000002,2679.016233600001
mul4144,0.956644863510535,453.492,6.0575100000000015,2747.032324920001
mul9999,0.9983545394913556,468.54,6.198944400000002,2904.453409176001
mul2934,0.9937843737786712,457.9380000000001,6.126034400000001,2805.343941067201
mul4949,0.9904759507698012,458.28,6.089312200000002,2790.609995016001
mul4944,0.9832060801729188,453.15,6.034496100000002,2734.531907715001
mul4244,0.9706740063531528,451.44000000000005,6.062852000000001,2737.013906880001
mul4394,0.9607792540677724,454.518,6.0428624000000015,2746.5897323232007
mul4444,0.939875618166362,448.02,5.979680000000002,2679.016233600001
mul4414,0.9297172203293096,453.492,6.0575100000000015,2747.032324920001
mul8943,0.9882523383885374,459.99,6.130551400000001,2819.9923384860003
mul4944,0.976273930084018,453.15,6.034496100000002,2734.531907715001
mul4434,0.9452334447653462,449.388,5.9880463000000015,2690.956150664401
mul4934,0.9399619093448394,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.8991369579869207,449.388,5.9880463000000015,2690.956150664401
mul3344,0.8691909056167166,450.756,5.996412600000001,2702.918957925601
mul4443,0.8224080623392387,449.388,5.9880463000000015,2690.956150664401
mul4444,0.8178808415287635,448.02,5.979680000000002,2679.016233600001
mul9994,0.9980322566656334,463.41,6.144128300000002,2847.2504955030013
mul4943,0.9969430840677924,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9947141538801684,453.15,6.034496100000002,2734.531907715001
mul4844,0.9933405930973984,453.492,6.067369000000001,2751.5033025480006
mul4244,0.9899209607743276,451.44000000000005,6.062852000000001,2737.013906880001
mul4344,0.9822602562440396,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9657291185934356,448.02,5.979680000000002,2679.016233600001
mul4144,0.9265732490424646,453.492,6.0575100000000015,2747.032324920001
mul9994,0.9960616606350124,463.41,6.144128300000002,2847.2504955030013
mul9944,0.989424272127864,458.28,6.089312200000002,2790.609995016001
mul4944,0.985611249461662,453.15,6.034496100000002,2734.531907715001
mul3844,0.9759646891478396,454.86,6.075735300000001,2763.6089585580003
mul4444,0.964349615097104,448.02,5.979680000000002,2679.016233600001
mul4434,0.9611970289160696,449.388,5.9880463000000015,2690.956150664401
mul4344,0.9398347131662425,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9289746123908074,450.756,5.996412600000001,2702.918957925601
