Multiplier,SSIM,Area,Power,Cost function
mul4993,0.9903822138224676,459.648,6.0976785000000016,2802.785727168001
mul3944,0.9825651884206782,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.956857181349156,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9242795125391068,448.02,5.979680000000002,2679.016233600001
mul1444,0.8564613870885797,453.492,6.0575100000000015,2747.032324920001
mul9944,0.9981854592091284,458.28,6.089312200000002,2790.609995016001
mul4944,0.995477030229127,453.15,6.034496100000002,2734.531907715001
mul4444,0.9883534773911544,448.02,5.979680000000002,2679.016233600001
mul2444,0.9842393854639788,451.44000000000005,6.062852000000001,2737.013906880001
mul3244,0.9666965270733626,452.8080000000001,6.071218300000001,2749.0962159864007
mul3943,0.9862846686750336,455.886,6.051228700000001,2758.6704471282005
mul3344,0.9719465140179906,450.756,5.996412600000001,2702.918957925601
mul4344,0.9508266493651268,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9080859391564524,448.02,5.979680000000002,2679.016233600001
mul1444,0.8573459525646905,453.492,6.0575100000000015,2747.032324920001
mul4993,0.9944287411847048,459.648,6.0976785000000016,2802.785727168001
mul4944,0.9865819283595768,453.15,6.034496100000002,2734.531907715001
mul3444,0.9712500829075228,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9652221160263236,448.02,5.979680000000002,2679.016233600001
mul1444,0.9434787159555904,453.492,6.0575100000000015,2747.032324920001
mul9944,0.997477811463104,458.28,6.089312200000002,2790.609995016001
mul4944,0.994262041193033,453.15,6.034496100000002,2734.531907715001
mul4444,0.9836924363029949,448.02,5.979680000000002,2679.016233600001
mul4344,0.9773084101803112,449.388,5.9880463000000015,2690.956150664401
mul3343,0.9639434893021724,452.124,6.004778900000001,2714.9046553836006
mul9944,0.9975882384717748,458.28,6.089312200000002,2790.609995016001
mul4944,0.9942514952037244,453.15,6.034496100000002,2734.531907715001
mul4444,0.9846957496254284,448.02,5.979680000000002,2679.016233600001
mul4433,0.9805015228743336,450.756,5.996412600000001,2702.918957925601
mul2424,0.95127082990186,454.86000000000007,6.146024000000001,2795.5804766400006
mul4994,0.9934097207837498,458.28,6.089312200000002,2790.609995016001
mul4944,0.9894719141663516,453.15,6.034496100000002,2734.531907715001
mul3444,0.930895917759686,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9236675127313128,448.02,5.979680000000002,2679.016233600001
mul4193,0.8769305371068481,459.99,6.120692400000001,2815.4572970760005
mul9944,0.9971491005711256,458.28,6.089312200000002,2790.609995016001
mul4944,0.99389839314684,453.15,6.034496100000002,2734.531907715001
mul4444,0.9840049591200288,448.02,5.979680000000002,2679.016233600001
mul4244,0.9820207190645563,451.44000000000005,6.062852000000001,2737.013906880001
mul2424,0.9652890021277768,454.86000000000007,6.146024000000001,2795.5804766400006
mul4993,0.995345678909579,459.648,6.0976785000000016,2802.785727168001
mul4944,0.9891378477856178,453.15,6.034496100000002,2734.531907715001
mul3444,0.9768282622773388,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9733796484743702,448.02,5.979680000000002,2679.016233600001
mul1344,0.9462013020814848,454.86,6.065876300000001,2759.1244938180007
mul3944,0.9934722208980964,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.987708894161195,453.15,6.034496100000002,2734.531907715001
mul3444,0.976848066666514,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9695584401905863,448.02,5.979680000000002,2679.016233600001
mul1444,0.9452954714784172,453.492,6.0575100000000015,2747.032324920001
mul2934,0.9937843737786712,457.9380000000001,6.126034400000001,2805.343941067201
mul4944,0.9832060801729188,453.15,6.034496100000002,2734.531907715001
