Multiplier,SSIM,Area,Power,Cost function
mul4994,0.98782258141751,458.28,6.089312200000002,2790.609995016001
mul3944,0.9825651884206782,454.518,6.0428624000000015,2746.5897323232007
mul4444,0.9242795125391068,448.02,5.979680000000002,2679.016233600001
mul2444,0.92170619931644,451.44000000000005,6.062852000000001,2737.013906880001
mul9944,0.9981854592091284,458.28,6.089312200000002,2790.609995016001
mul4944,0.995477030229127,453.15,6.034496100000002,2734.531907715001
mul4444,0.9883534773911544,448.02,5.979680000000002,2679.016233600001
mul3244,0.9666965270733626,452.8080000000001,6.071218300000001,2749.0962159864007
mul3943,0.9862846686750336,455.886,6.051228700000001,2758.6704471282005
mul3344,0.9719465140179906,450.756,5.996412600000001,2702.918957925601
mul4444,0.9080859391564524,448.02,5.979680000000002,2679.016233600001
mul4414,0.8875609899990738,453.492,6.0575100000000015,2747.032324920001
mul4993,0.9944287411847048,459.648,6.0976785000000016,2802.785727168001
mul4944,0.9865819283595768,453.15,6.034496100000002,2734.531907715001
mul4444,0.9652221160263236,448.02,5.979680000000002,2679.016233600001
mul3343,0.957224745225854,452.124,6.004778900000001,2714.9046553836006
mul9944,0.997477811463104,458.28,6.089312200000002,2790.609995016001
mul4443,0.9868665962138198,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9836924363029949,448.02,5.979680000000002,2679.016233600001
mul4343,0.9727797123240172,450.756,5.996412600000001,2702.918957925601
mul3944,0.9961751608791368,454.518,6.0428624000000015,2746.5897323232007
mul3444,0.9859380237625344,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9846957496254284,448.02,5.979680000000002,2679.016233600001
mul2444,0.9574724240440587,451.44000000000005,6.062852000000001,2737.013906880001
mul3944,0.9925525539498322,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9894719141663516,453.15,6.034496100000002,2734.531907715001
mul4444,0.9236675127313128,448.02,5.979680000000002,2679.016233600001
mul4144,0.8800012428025763,453.492,6.0575100000000015,2747.032324920001
mul9944,0.9971491005711256,458.28,6.089312200000002,2790.609995016001
mul4344,0.986052232667352,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9840049591200288,448.02,5.979680000000002,2679.016233600001
mul2444,0.9689093394677136,451.44000000000005,6.062852000000001,2737.013906880001
mul4994,0.9948026482379492,458.28,6.089312200000002,2790.609995016001
mul4944,0.9891378477856178,453.15,6.034496100000002,2734.531907715001
mul4444,0.9733796484743702,448.02,5.979680000000002,2679.016233600001
mul4144,0.9650261133951196,453.492,6.0575100000000015,2747.032324920001
mul3944,0.9934722208980964,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.98003855804845,450.756,5.996412600000001,2702.918957925601
mul4444,0.9695584401905863,448.02,5.979680000000002,2679.016233600001
mul4144,0.956644863510535,453.492,6.0575100000000015,2747.032324920001
mul2934,0.9937843737786712,457.9380000000001,6.126034400000001,2805.343941067201
mul4944,0.9832060801729188,453.15,6.034496100000002,2734.531907715001
mul4444,0.939875618166362,448.02,5.979680000000002,2679.016233600001
mul4144,0.9022064286808116,453.492,6.0575100000000015,2747.032324920001
mul4944,0.976273930084018,453.15,6.034496100000002,2734.531907715001
mul4434,0.9452334447653462,449.388,5.9880463000000015,2690.956150664401
mul4444,0.8178808415287635,448.02,5.979680000000002,2679.016233600001
mul3444,0.7931572575699252,449.388,5.9880463000000015,2690.956150664401
mul4943,0.9969430840677924,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.9947141538801684,453.15,6.034496100000002,2734.531907715001
mul4444,0.9657291185934356,448.02,5.979680000000002,2679.016233600001
mul4144,0.9265732490424646,453.492,6.0575100000000015,2747.032324920001
mul4943,0.9868145567894988,454.518,6.0428624000000015,2746.5897323232007
mul4944,0.985611249461662,453.15,6.034496100000002,2734.531907715001
mul4444,0.964349615097104,448.02,5.979680000000002,2679.016233600001
mul3344,0.9289746123908074,450.756,5.996412600000001,2702.918957925601
mul3934,0.9900000416439628,455.886,6.051228700000001,2758.6704471282005
mul4944,0.9821909138047588,453.15,6.034496100000002,2734.531907715001
mul4444,0.9151723645720669,448.02,5.979680000000002,2679.016233600001
mul4144,0.1356407090646171,453.492,6.0575100000000015,2747.032324920001
mul3933,0.9787585010297476,457.254,6.059595000000001,2770.7740521300007
mul4944,0.9689030767929088,453.15,6.034496100000002,2734.531907715001
mul4444,0.8810594378238095,448.02,5.979680000000002,2679.016233600001
mul4144,0.8206853592814545,453.492,6.0575100000000015,2747.032324920001
mul4994,0.992103156377973,458.28,6.089312200000002,2790.609995016001
mul4444,0.932501189405432,448.02,5.979680000000002,2679.016233600001
mul4344,0.8919520820130167,449.388,5.9880463000000015,2690.956150664401
mul4134,0.847962147572681,454.86,6.065876300000001,2759.1244938180007
mul9944,0.9972563564513468,458.28,6.089312200000002,2790.609995016001
mul4944,0.992684082469272,453.15,6.034496100000002,2734.531907715001
mul4444,0.962714892240077,448.02,5.979680000000002,2679.016233600001
mul4144,0.9052223768694873,453.492,6.0575100000000015,2747.032324920001
mul2943,0.9836219838403044,457.9380000000001,6.126034400000001,2805.343941067201
mul4944,0.97244999947601,453.15,6.034496100000002,2734.531907715001
mul4444,0.9209598009985,448.02,5.979680000000002,2679.016233600001
mul4244,0.8662392871239767,451.44000000000005,6.062852000000001,2737.013906880001
mul3944,0.991172610005246,454.518,6.0428624000000015,2746.5897323232007
mul3443,0.9710272525501508,450.756,5.996412600000001,2702.918957925601
mul4444,0.9505913940309024,448.02,5.979680000000002,2679.016233600001
mul4441,0.9393244897869606,453.492,6.0575100000000015,2747.032324920001
mul4993,0.996117669411234,459.648,6.0976785000000016,2802.785727168001
mul4944,0.9922900446899836,453.15,6.034496100000002,2734.531907715001
mul4344,0.9802661538065802,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9603055143504312,448.02,5.979680000000002,2679.016233600001
mul3944,0.99668426751112,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.987520101862358,450.756,5.996412600000001,2702.918957925601
mul4444,0.9813100076195516,448.02,5.979680000000002,2679.016233600001
mul2444,0.9672059762182884,451.44000000000005,6.062852000000001,2737.013906880001
mul4943,0.9965447346185822,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9779199028184592,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9640316178473388,448.02,5.979680000000002,2679.016233600001
mul4144,0.9461088815955808,453.492,6.0575100000000015,2747.032324920001
mul4994,0.9961487353030308,458.28,6.089312200000002,2790.609995016001
mul4944,0.9913752813019902,453.15,6.034496100000002,2734.531907715001
mul4444,0.9717730350664512,448.02,5.979680000000002,2679.016233600001
mul4144,0.9241866341429804,453.492,6.0575100000000015,2747.032324920001
mul3944,0.9959030551882344,454.518,6.0428624000000015,2746.5897323232007
mul3344,0.9907549277514722,450.756,5.996412600000001,2702.918957925601
mul4444,0.9788468215366112,448.02,5.979680000000002,2679.016233600001
mul4244,0.9501275361396264,451.44000000000005,6.062852000000001,2737.013906880001
mul4944,0.99680322846727,453.15,6.034496100000002,2734.531907715001
