Multiplier,SSIM,Area,Power,Cost function
mul4334,0.999805363515886,450.756,5.996412600000001,2702.918957925601
mul4344,0.9997466915649408,449.388,5.9880463000000015,2690.956150664401
mul3343,0.9996255936338464,452.124,6.004778900000001,2714.9046553836006
mul4341,0.9994932064368168,454.86,6.065876300000001,2759.1244938180007
mul3444,0.9988215238074832,449.388,5.9880463000000015,2690.956150664401
mul9434,0.9978542197155638,454.518,6.0428624000000015,2746.5897323232007
mul9444,0.9976286323264648,453.15,6.034496100000002,2734.531907715001
mul4444,0.9964594608104096,448.02,5.979680000000002,2679.016233600001
mul4334,0.9998142720433438,450.756,5.996412600000001,2702.918957925601
mul4344,0.9997319984606672,449.388,5.9880463000000015,2690.956150664401
mul3333,0.9996051419726298,453.492,6.0131452,2726.9132430384
mul3493,0.9992152395077094,455.886,6.051228700000001,2758.6704471282005
mul3444,0.9988494481675484,449.388,5.9880463000000015,2690.956150664401
mul4944,0.9985915253482306,453.15,6.034496100000002,2734.531907715001
mul9444,0.997593876770802,453.15,6.034496100000002,2734.531907715001
mul4444,0.9963799159260356,448.02,5.979680000000002,2679.016233600001
mul4333,0.9998889838802396,452.124,6.004778900000001,2714.9046553836006
mul4334,0.999868238517596,450.756,5.996412600000001,2702.918957925601
mul4344,0.9997936463191796,449.388,5.9880463000000015,2690.956150664401
mul3333,0.9997737615506498,453.492,6.0131452,2726.9132430384
mul3444,0.9995446672196964,449.388,5.9880463000000015,2690.956150664401
mul4944,0.9994449421997276,453.15,6.034496100000002,2734.531907715001
mul4434,0.9989706822835572,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9988070276172448,448.02,5.979680000000002,2679.016233600001
mul4333,0.9997867088058668,452.124,6.004778900000001,2714.9046553836006
mul4344,0.999617691432173,449.388,5.9880463000000015,2690.956150664401
mul4331,0.9994850577288316,456.228,6.074242600000001,2771.2395529128003
mul3493,0.999159610996401,455.886,6.051228700000001,2758.6704471282005
mul3444,0.9987170645187108,449.388,5.9880463000000015,2690.956150664401
mul4944,0.9983725901306136,453.15,6.034496100000002,2734.531907715001
mul9444,0.9973587208400948,453.15,6.034496100000002,2734.531907715001
mul4444,0.9960336199770612,448.02,5.979680000000002,2679.016233600001
mul4344,0.9999323234911855,449.388,5.9880463000000015,2690.956150664401
mul4334,0.9998979465030892,450.756,5.996412600000001,2702.918957925601
mul3434,0.9998528538415444,450.756,5.996412600000001,2702.918957925601
mul3444,0.9998121449252106,449.388,5.9880463000000015,2690.956150664401
mul4944,0.9995848042316072,453.15,6.034496100000002,2734.531907715001
mul4434,0.9990577447010336,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9986079399547148,448.02,5.979680000000002,2679.016233600001
mul4441,0.9980998809396447,453.492,6.0575100000000015,2747.032324920001
mul4334,0.9999234275229876,450.756,5.996412600000001,2702.918957925601
mul4349,0.9998866456511434,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9998454288210342,449.388,5.9880463000000015,2690.956150664401
mul3494,0.9997473269202594,454.518,6.0428624000000015,2746.5897323232007
mul3444,0.9996443324063798,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9993461683962894,450.756,5.996412600000001,2702.918957925601
