Multiplier,SSIM,Area,Power,Cost function
mul9344,0.999914310693988,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9997466915649408,449.388,5.9880463000000015,2690.956150664401
mul3344,0.9996569312493964,450.756,5.996412600000001,2702.918957925601
mul3334,0.9995862931213516,452.124,6.004778900000001,2714.9046553836006
mul4341,0.9994932064368168,454.86,6.065876300000001,2759.1244938180007
mul3433,0.9990338916061828,452.124,6.004778900000001,2714.9046553836006
mul3444,0.9988215238074832,449.388,5.9880463000000015,2690.956150664401
mul9434,0.9978542197155638,454.518,6.0428624000000015,2746.5897323232007
mul9444,0.9976286323264648,453.15,6.034496100000002,2734.531907715001
mul4444,0.9964594608104096,448.02,5.979680000000002,2679.016233600001
mul1144,0.9934271745404484,458.964,6.135340000000001,2815.9001877600003
mul9344,0.9999304943756574,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9997319984606672,449.388,5.9880463000000015,2690.956150664401
mul3334,0.9996548753218558,452.124,6.004778900000001,2714.9046553836006
mul3333,0.9996051419726298,453.492,6.0131452,2726.9132430384
mul4341,0.999469837233398,454.86,6.065876300000001,2759.1244938180007
mul3434,0.9990142464835908,450.756,5.996412600000001,2702.918957925601
mul3444,0.9988494481675484,449.388,5.9880463000000015,2690.956150664401
mul9434,0.9978490432731782,454.518,6.0428624000000015,2746.5897323232007
mul9444,0.997593876770802,453.15,6.034496100000002,2734.531907715001
mul4444,0.9963799159260356,448.02,5.979680000000002,2679.016233600001
mul1144,0.9933392275474952,458.964,6.135340000000001,2815.9001877600003
mul9334,0.9999364861743484,455.886,6.051228700000001,2758.6704471282005
mul4334,0.999868238517596,450.756,5.996412600000001,2702.918957925601
mul4349,0.9998457416664472,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.9997936463191796,449.388,5.9880463000000015,2690.956150664401
mul3333,0.9997737615506498,453.492,6.0131452,2726.9132430384
mul3433,0.9996598706349236,452.124,6.004778900000001,2714.9046553836006
mul3444,0.9995446672196964,449.388,5.9880463000000015,2690.956150664401
mul9434,0.9993234337407022,454.518,6.0428624000000015,2746.5897323232007
mul4433,0.9990399050319012,450.756,5.996412600000001,2702.918957925601
mul4444,0.9988070276172448,448.02,5.979680000000002,2679.016233600001
mul1441,0.9979458328881108,458.964,6.135340000000001,2815.9001877600003
mul9334,0.9999354485735144,455.886,6.051228700000001,2758.6704471282005
mul4334,0.9997426425084244,450.756,5.996412600000001,2702.918957925601
mul4344,0.999617691432173,449.388,5.9880463000000015,2690.956150664401
mul4331,0.9994850577288316,456.228,6.074242600000001,2771.2395529128003
mul4341,0.9993198357495418,454.86,6.065876300000001,2759.1244938180007
mul3434,0.9989221304501592,450.756,5.996412600000001,2702.918957925601
mul3444,0.9987170645187108,449.388,5.9880463000000015,2690.956150664401
mul9434,0.9976595157085136,454.518,6.0428624000000015,2746.5897323232007
mul9444,0.9973587208400948,453.15,6.034496100000002,2734.531907715001
mul4444,0.9960336199770612,448.02,5.979680000000002,2679.016233600001
