Multiplier,SSIM,Area,Power,Cost function
mul4944,0.9998419101109128,453.15,6.034496100000002,2734.531907715001
mul4444,0.9995104465772964,448.02,5.979680000000002,2679.016233600001
mul4144,0.998941540486342,453.492,6.0575100000000015,2747.032324920001
mul4944,0.9998389970213636,453.15,6.034496100000002,2734.531907715001
mul4444,0.998856112794134,448.02,5.979680000000002,2679.016233600001
mul4144,0.99801901116652,453.492,6.0575100000000015,2747.032324920001
mul4944,0.9998121072056194,453.15,6.034496100000002,2734.531907715001
mul4444,0.9986033637263856,448.02,5.979680000000002,2679.016233600001
mul9444,0.9981306130905652,453.15,6.034496100000002,2734.531907715001
mul4944,0.9998873048138904,453.15,6.034496100000002,2734.531907715001
mul4444,0.9994855770323346,448.02,5.979680000000002,2679.016233600001
mul4333,0.9990367315307396,452.124,6.004778900000001,2714.9046553836006
mul4944,0.9999014262946808,453.15,6.034496100000002,2734.531907715001
mul4444,0.9990237568991288,448.02,5.979680000000002,2679.016233600001
mul4144,0.9975526379796784,453.492,6.0575100000000015,2747.032324920001
mul3444,0.9997565454404018,449.388,5.9880463000000015,2690.956150664401
mul4444,0.999694978556074,448.02,5.979680000000002,2679.016233600001
mul2344,0.998986150230082,452.8080000000001,6.071218300000001,2749.0962159864007
mul4944,0.9999249072016704,453.15,6.034496100000002,2734.531907715001
mul4444,0.9996712368769513,448.02,5.979680000000002,2679.016233600001
mul4343,0.9994824779374176,450.756,5.996412600000001,2702.918957925601
mul4944,0.9998874018636728,453.15,6.034496100000002,2734.531907715001
mul4444,0.999462021607648,448.02,5.979680000000002,2679.016233600001
mul4333,0.9991993204132414,452.124,6.004778900000001,2714.9046553836006
mul4944,0.9999243968815428,453.15,6.034496100000002,2734.531907715001
mul4444,0.999469381241359,448.02,5.979680000000002,2679.016233600001
mul3344,0.9980634944196703,450.756,5.996412600000001,2702.918957925601
mul4934,0.9999379005207354,454.518,6.0428624000000015,2746.5897323232007
mul4344,0.99965953314207,449.388,5.9880463000000015,2690.956150664401
mul4444,0.9988925686206592,448.02,5.979680000000002,2679.016233600001
mul4944,0.9999272529400356,453.15,6.034496100000002,2734.531907715001
mul4444,0.999738179025604,448.02,5.979680000000002,2679.016233600001
mul4144,0.9984181929292856,453.492,6.0575100000000015,2747.032324920001
mul4944,0.99990969793757,453.15,6.034496100000002,2734.531907715001
mul4444,0.9994747543903691,448.02,5.979680000000002,2679.016233600001
mul4144,0.9990229844604868,453.492,6.0575100000000015,2747.032324920001
mul4934,0.9998997634624072,454.518,6.0428624000000015,2746.5897323232007
mul4444,0.9995870011770264,448.02,5.979680000000002,2679.016233600001
mul4144,0.9983082829697932,453.492,6.0575100000000015,2747.032324920001
mul4944,0.999863046216124,453.15,6.034496100000002,2734.531907715001
mul4444,0.9994100163066664,448.02,5.979680000000002,2679.016233600001
mul4144,0.9988419553118874,453.492,6.0575100000000015,2747.032324920001
mul4944,0.99988543664638,453.15,6.034496100000002,2734.531907715001
mul4444,0.999278001520177,448.02,5.979680000000002,2679.016233600001
mul4144,0.9976021152776072,453.492,6.0575100000000015,2747.032324920001
mul4944,0.9998969416831952,453.15,6.034496100000002,2734.531907715001
mul4444,0.999178437599992,448.02,5.979680000000002,2679.016233600001
mul9444,0.998792011947854,453.15,6.034496100000002,2734.531907715001
mul4944,0.9998788649654212,453.15,6.034496100000002,2734.531907715001
